lat,lon,alt,dop,speed
65.996635,19.365644,350.939,1.34,0.015
65.996647,19.365668,356.094,3.69,0.031
65.996754,19.365651,372.464,4.44,0.843
65.996641,19.365614,345.839,7.02,1.023
65.996671,19.365533,348.83,3.95,0.276
65.996466,19.366314,354.22,4.33,0.845
65.996641,19.365478,356.717,2.34,0.019
65.996643,19.366527,368.658,2.3,0.325
65.996393,19.368753,357.178,4.22,0.1
65.996435,19.368963,344.466,1.93,0.03
65.996115,19.368702,388.753,3.16,0.587
65.995952,19.368803,342.421,4.7,0.501
65.99598,19.368944,360.68,3.6,0.101
65.995743,19.369108,354.539,2.54,0.353
65.995801,19.369012,351.953,3.2,0.022
65.995891,19.368989,347.798,1.79,0.051
65.995976,19.368825,347.8,6.37,0.384
65.996487,19.369271,346.99,2.03,0.037
65.995944,19.369213,370.928,20.89,0.205
65.995864,19.369011,357.03,3.97,0.026
65.995905,19.369089,364.425,2.94,0.046
65.995847,19.368969,349.822,1.82,0.008
65.995838,19.369068,345.275,2.98,0.035
65.995934,19.368842,340.178,5.0,0.042
65.995862,19.369023,343.428,3.71,0.093
65.995873,19.368838,349.095,2.51,0.352
65.99585,19.36901,354.762,3.05,0.054
65.995873,19.368942,342.277,4.76,0.044
65.995878,19.368776,342.55,4.68,0.02
65.995855,19.368878,349.922,4.46,0.054
65.995873,19.369035,354.711,3.78,0.552
65.99468,19.370987,357.741,5.13,0.119
65.994638,19.371094,346.051,2.73,0.089
65.994626,19.37103,350.69,4.12,0.117
65.994599,19.371074,314.192,5.66,1.938
65.994756,19.371338,358.858,3.09,0.061
65.994625,19.371142,343.25,5.43,1.16
65.994641,19.371216,351.565,4.95,0.218
65.994568,19.371292,310.757,7.63,0.027
65.994574,19.371252,353.184,6.54,0.049
65.994686,19.371159,350.789,5.95,0.035
65.994642,19.371089,344.985,4.96,0.01
65.994698,19.37104,327.818,3.51,0.11
65.994678,19.371076,346.427,5.63,1.431
65.994692,19.371171,347.97,5.78,0.591
65.994607,19.371081,343.849,3.93,0.159
65.995242,19.370558,326.924,4.43,0.202
65.995391,19.370694,358.43,5.0,0.052
65.995324,19.370454,329.965,7.07,0.716
65.995374,19.370473,340.139,4.13,0.108
65.99539,19.37064,338.146,3.36,0.045
65.995513,19.370672,330.586,2.71,0.199
65.995528,19.370554,366.396,1.96,0.043
65.995476,19.370679,344.397,2.99,0.033
65.995472,19.370568,349.119,5.71,0.029
65.995481,19.37057,345.601,2.65,0.047
65.995467,19.370459,346.294,3.25,0.081
65.995408,19.370558,360.465,3.08,0.037
65.995454,19.37056,352.584,3.28,1.129
65.995441,19.370561,355.38,2.7,0.602
65.995339,19.37082,354.364,2.45,0.34
65.995376,19.370447,350.897,3.88,0.234
65.995455,19.37055,350.642,2.59,0.003
65.99542,19.370557,341.415,6.99,0.697
65.995341,19.370766,363.262,4.28,0.099
65.995313,19.371031,373.493,3.51,0.031
65.99537,19.370548,334.655,3.59,0.336
65.995218,19.370773,348.27,3.09,0.648
65.995335,19.370666,356.357,3.65,0.028
65.995429,19.370488,356.221,4.14,0.643
65.994671,19.373539,360.656,4.27,0.019
65.994924,19.371755,345.057,5.85,0.156
65.994681,19.372051,343.925,10.09,0.211
65.99423,19.371652,327.865,11.54,0.129
